Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Jordan,,90.0,5.161,,,,,,,0.13,,,,,,,,,,,,90.0,Jordan,5.161,0.822,1.265,0.645,0.468,0.134
Nigeria,,91.0,5.155,,,,,,,0.201,,,,,,,,,,,,91.0,Nigeria,5.155,0.689,1.172,0.048,0.462,0.032
Kyrgyzstan,,92.0,5.131,,,,,,,0.281,,,,,,,,,,,,92.0,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.035
Bosnia & Herzegovina,,93.0,5.129,,,,,,,0.216,,,,,,,,,,,,93.0,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.0
Mongolia,,94.0,5.125,,,,,,,0.253,,,,,,,,,,,,94.0,Mongolia,5.125,0.914,1.517,0.575,0.395,0.032
Vietnam,,95.0,5.103,,,,,,,0.177,,,,,,,,,,,,95.0,Vietnam,5.103,0.715,1.365,0.702,0.618,0.079
Indonesia,,96.0,5.093,,,,,,,0.484,,,,,,,,,,,,96.0,Indonesia,5.093,0.899,1.215,0.522,0.538,0.018
Bhutan,,97.0,5.082,,,,,,,0.364,,,,,,,,,,,,97.0,Bhutan,5.082,0.796,1.335,0.527,0.541,0.171
Somalia,,98.0,4.982,,,,,,,0.238,,,,,,,,,,,,98.0,Somalia,4.982,0.0,0.712,0.115,0.674,0.282
Cameroon,,99.0,4.975,,,,,,,0.183,,,,,,,,,,,,99.0,Cameroon,4.975,0.535,0.891,0.182,0.454,0.043
Bulgaria,,100.0,4.933,,,,,,,0.064,,,,,,,,,,,,100.0,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.009
Nepal,,101.0,4.88,,,,,,,0.302,,,,,,,,,,,,101.0,Nepal,4.88,0.425,1.228,0.539,0.526,0.078
Venezuela,,102.0,4.806,,,,,,,0.056,,,,,,,,,,,,102.0,Venezuela,4.806,0.996,1.469,0.657,0.133,0.052
Gabon,,103.0,4.758,,,,,,,0.032,,,,,,,,,,,,103.0,Gabon,4.758,1.036,1.164,0.404,0.356,0.052
South Africa,,105.0,4.724,,,,,,,0.103,,,,,,,,,,,,105.0,South Africa,4.724,0.94,1.41,0.33,0.516,0.056
Iran,,106.0,4.707,,,,,,,0.282,,,,,,,,,,,,106.0,Iran,4.707,1.059,0.771,0.691,0.459,0.129
Ghana,,108.0,4.657,,,,,,,0.212,,,,,,,,,,,,108.0,Ghana,4.657,0.592,0.896,0.337,0.499,0.029
Senegal,,109.0,4.631,,,,,,,0.138,,,,,,,,,,,,109.0,Senegal,4.631,0.429,1.117,0.433,0.406,0.082
Laos,,110.0,4.623,,,,,,,0.23,,,,,,,,,,,,110.0,Laos,4.623,0.72,1.034,0.441,0.626,0.174
Tunisia,,111.0,4.592,,,,,,,0.04,,,,,,,,,,,,111.0,Tunisia,4.592,0.9,0.906,0.69,0.271,0.063
Albania,,112.0,4.586,,,,,,,0.149,,,,,,,,,,,,112.0,Albania,4.586,0.916,0.817,0.79,0.419,0.032
Sierra Leone,,113.0,4.571,,,,,,,0.238,,,,,,,,,,,,113.0,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.053
